轴功率(kW),步数增量,设定流量(kg/s),进口流量(kg/s),设定转速(RPM),等熵效率(%),最大马赫数,状态码,压比,轴向力(N),备注
8.986,61,0.4200,0.4188,24000,46.21,0.908,0,1.1196,2220.68,正常收敛
8.892,50,0.4000,0.3998,24000,53.84,0.811,0,1.1461,2234.92,正常收敛
8.731,50,0.3800,0.3802,24000,60.39,0.764,0,1.1704,2246.88,正常收敛
8.549,67,0.3600,0.3593,24000,65.71,0.717,0,1.1929,2258.91,正常收敛
8.379,50,0.3400,0.3397,24000,69.91,0.615,0,1.2151,2270.25,正常收敛
8.142,85,0.3200,0.3188,24000,71.60,0.744,0,1.2285,2280.07,正常收敛
7.909,50,0.3000,0.3011,24000,70.97,0.718,0,1.2343,2286.14,正常收敛
7.668,50,0.2800,0.2801,24000,76.27,0.643,0,1.2631,2296.52,正常收敛
7.400,50,0.2600,0.2603,24000,78.83,0.692,0,1.2850,2304.07,正常收敛
7.287,50,0.2500,0.2501,24000,80.11,0.645,0,1.2972,2306.91,正常收敛
7.170,50,0.2400,0.2399,24000,80.10,0.631,0,1.3056,2309.07,正常收敛
7.032,50,0.2300,0.2300,24000,79.40,0.650,0,1.3103,2309.61,正常收敛
6.857,50,0.2200,0.2202,24000,78.76,0.640,0,1.3132,2309.81,正常收敛
6.573,96,0.2100,0.2101,24000,76.96,0.688,0,1.3082,2307.01,正常收敛
6.357,62,0.2000,0.2000,24000,76.17,0.695,0,1.3095,2306.93,正常收敛
6.194,73,0.1900,0.1902,24000,75.76,0.628,0,1.3138,2306.96,正常收敛
5.936,50,0.1800,0.1800,24000,74.17,0.619,0,1.3119,2306.44,正常收敛
5.768,67,0.1700,0.1700,24000,73.87,0.618,0,1.3177,2310.11,正常收敛
5.463,228,0.1600,0.1596,24000,72.09,0.551,0,1.3121,2310.07,正常收敛
5.087,415,0.1500,0.1514,24000,71.12,0.542,0,1.3072,2307.68,正常收敛
7.976,60,0.4200,0.4191,23000,36.63,0.957,0,1.0832,2199.64,压比极低判定堵塞 (Choke)
7.917,50,0.4000,0.3998,23000,46.85,0.845,0,1.1119,2214.67,正常收敛
7.802,50,0.3800,0.3796,23000,54.76,0.712,0,1.1370,2228.06,正常收敛
7.648,50,0.3600,0.3603,23000,61.46,0.748,0,1.1598,2238.70,正常收敛
7.488,64,0.3400,0.3394,23000,67.32,0.655,0,1.1827,2250.21,正常收敛
7.310,50,0.3200,0.3191,23000,70.46,0.596,0,1.2001,2260.85,正常收敛
7.091,97,0.3000,0.2993,23000,71.10,0.710,0,1.2085,2267.74,正常收敛
6.865,50,0.2800,0.2805,23000,71.47,0.658,0,1.2183,2275.92,正常收敛
6.642,50,0.2600,0.2600,23000,77.60,0.618,0,1.2490,2284.63,正常收敛
6.506,50,0.2500,0.2501,23000,79.13,0.667,0,1.2592,2287.42,正常收敛
6.405,50,0.2400,0.2401,23000,80.06,0.624,0,1.2697,2290.65,正常收敛
6.304,50,0.2300,0.2299,23000,80.14,0.598,0,1.2782,2292.78,正常收敛
6.174,50,0.2200,0.2200,23000,79.49,0.604,0,1.2828,2293.62,正常收敛
6.015,50,0.2100,0.2101,23000,78.75,0.609,0,1.2857,2293.65,正常收敛
5.759,92,0.2000,0.1999,23000,76.97,0.633,0,1.2816,2291.60,正常收敛
5.562,67,0.1900,0.1898,23000,75.98,0.656,0,1.2827,2291.41,正常收敛
5.420,67,0.1800,0.1801,23000,75.20,0.632,0,1.2865,2291.57,正常收敛
5.202,50,0.1700,0.1699,23000,74.33,0.596,0,1.2878,2292.66,正常收敛
5.000,50,0.1600,0.1600,23000,73.07,0.559,0,1.2879,2294.60,正常收敛
7.016,55,0.4200,0.4207,22000,24.53,0.987,2,1.0483,2177.27,正常堵塞收敛 (Choke)
7.003,50,0.4000,0.4003,22000,38.00,0.893,0,1.0792,2194.89,压比极低判定堵塞 (Choke)
6.917,50,0.3800,0.3804,22000,48.21,0.766,0,1.1054,2208.11,正常收敛
6.789,50,0.3600,0.3604,22000,55.62,0.668,0,1.1273,2219.29,正常收敛
6.653,68,0.3400,0.3403,22000,62.46,0.717,0,1.1489,2229.77,正常收敛
